,category,clean_text
0,1,@JackJohnstone tomorrow night would definitely work 
1,1,@yourawolfboyy my bff 
2,1,"@darrala sorry again, I don't have a twitter ap on my phone, so I only text to it, I can only reply on the internet for now. "
3,1,@abduzeedo The link that you send is to show the results only 
4,1,@Lizzidoll its cool. Lol. And damn they really are keeping it close. Lol. Btw nice meeting you at Yale. 
5,1,"@iantalbot lol,  Good morning Ian. Yes the ladies have very good tast "
6,1,Never thought texting could be so fun. 
7,1,Some of the construction at the school @ Ta Phin where we helped today - wouldn't OSHA love this  http://twitpic.com/5f48v
8,1,get ready to go have some indian.. think chicken vin dalu today  hope i spelled that right.. working email issues
9,1,@solixir I would bet on playing w/son &amp; nephew. That's what always does it for me 
10,1,is drinkin' tea &amp; watchin' tv 
11,1,jonas brothers music report &lt;3 ...trying to make it perfect 
12,1,is watching over a beautiful angel 
13,1,"@TechWraith @Mettadore Yup. As I've said before: &quot;If it has an API, we'll dashboard it.&quot; "
14,1,Work was absolutely amazing - banter flowing as per usual. Had Fish Pie... tasted alot like cottage pie tho... 
15,1,@gbazz I used to love watching that  I even ate Nutri-Grain for a while but nothing happened 
16,1,@cathoderaytube Cool - look forward to reading your review am pondering a blog post myself 
17,1,"@JustJayde Lol well you can keep the melon, too cold for that stuff anyway "
18,1,"Taking a &quot;mental health day&quot; today! so excited about it too!! 3-4 miles at Memorial Park, lunch at Picnic, then an afternoon movie "
19,1,@Lbluca77 RE:itunes suggestions michael johns from idol new single heart on my sleeve listen  www.myspace.com/michaeljohnsmusic
20,1,"just got home! LET US ALL BE CONNECTED WITH GOD, CONSTANTLY! "
21,1,got to drive the live van today! it was the shiznit! 
22,1,@MontanaOne It should begin its migration to Montana very soon. 
23,1,@latinprince indeed 
24,1,"@angelstar1632 hmh *blushes* true, that would be me  How are you?"
25,1,"Had a lie in for once, just bathed pony-next off to dad's to watch GP then may even clean car "
26,1,"okay, im done babbling... for tonight  goodnight everyone! sleep tight, dont let the bed bugs (eew?!) bite! sweet dreams "
27,1,@AldrichJC twirl is the way to go 
28,1,@Raftery heehee - doesn't it look like fun? then mama &amp; I can both have margaritas. 
