category,clean_text
2,What @dhepburn said.
2,I didn't today... Must mean I need to take another trip!
2,"Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
2,did you know that suicide is the second leading cause of death among teens 10-24
2,will you be making BOS&gt;LAS non stop permanently anytime soon?
2,do you miss me? Don't worry we'll be together very soon.
2,LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
2,Are the hours of operation for the Club at SFO that are posted online current?
2,Nice RT : Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
2,when can I book my flight to Hawaii??
2,plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
2,I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
2,are flights leaving Dallas for Seattle on time Feb 24?
2, DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
2, @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
2, @ladygaga @carrieunderwood All were entertaining
2," Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
2, wish you flew out of Atlanta... Soon?
2, @ladygaga @carrieunderwood Julie Andrews. Hands down.
2, Will flights be leaving Dallas for LA on February 24th?
2, @ladygaga @carrieunderwood - Carrie!
2, New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
2, @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
2," @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
2," @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
2, Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
2, Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
2, I emailed your customer service team. Let me know if you need the tracking number.
2," hi I just booked a flight but need to add baggage, how can I do this?"
2," Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
2, first time flying you all. do you have a different rate/policy for media Bags? Thanks
2, what happened to Doom?!
2, Can't bring up my reservation online using Flight Booking Problems code
2, Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
2, I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
2," ""You down with RNP?"" ""Yeah you know me!"""
2," hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
2, why is flight 345 redirected?
2, trying to add my boy Prince to my ressie. SF this Thursday  from LAX http://t.co/GsB2J3c4gM
2, check out new music http://t.co/maRcnOCWzn
2, I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
2," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
2," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
2," Do you provide complimentary upgrades to first class, if there are available seats?"
2, How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
2, is flight 882 Cancelled Flightled and what do I do if it is?
2, has flight number 276 from SFO to Cabo San Lucas arrived yet?
2,", @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
2, Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
2, is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
2, is your website ever coming back online?
2,"  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
2, Is flight 0769 out of LGA to DFW on time?
2, my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
2, Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
2, to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
2," Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
2, Lister to my show my on Monday 1230 130
2, to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
2, I'd love to know what your policy is for damaged luggage.
2, @TTINAC11 I DM you
2, can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
2, If only you guys had flights from CMH.
2, Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
2,“:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
2, nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
2, can you please get me to the new york area before monday afternoon
2," on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
2," it’s just a bug report, guys"
2, any updates on flight 413 from Jfk &gt; Lax
2, spruce moose!
2," If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
2," beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
